fish,exp_path,condition,Gene_TNF,Gene_CORO1A,Gene_IL2RA,Gene_ACTB,Gene_CD69,Gene_IRF8,Gene_GZMB,Gene_CCR7,Gene_IFNG,Gene_GBP4,Gene_TNF_2,Gene_XP01,delta_z_l_TNF,delta_z_l_CORO1A,delta_z_l_IL2RA,delta_z_l_ACTB,delta_z_l_CD69,delta_z_l_IRF8,delta_z_l_GZMB,delta_z_l_CCR7,delta_z_l_IFNG,delta_z_l_GBP4,delta_z_l_TNF_2,delta_z_l_XP01,delta_z_r_TNF,delta_z_r_CORO1A,delta_z_r_IL2RA,delta_z_r_ACTB,delta_z_r_CD69,delta_z_r_IRF8,delta_z_r_GZMB,delta_z_r_CCR7,delta_z_r_IFNG,delta_z_r_GBP4,delta_z_r_TNF_2,delta_z_r_XP01,Gene_CD8,delta_z_l_CD8,delta_z_r_CD8,Gene_CORO1A_2,delta_z_l_CORO1A_2,delta_z_r_CORO1A_2,Gene_SDch0,Gene_SDch1,Gene_GZMB_2,delta_z_l_SDch0,delta_z_l_SDch1,delta_z_l_GZMB_2,delta_z_r_SDch0,delta_z_r_SDch1,delta_z_r_GZMB_2
2014,2025-03-31_Proof-of-concept-Olga2/,3-24H,0.0,12.0,1.0,80.0,3.0,0.0,69.0,0.0,29.0,38.0,1.0,1.0,,14.0,11.0,5.0,9.0,,0.0,,3.0,4.0,7.0,7.0,,19.0,28.0,17.0,23.0,,20.0,,21.0,23.0,32.0,32.0,,,,,,,,,,,,,,,
2015,2025-03-31_Proof-of-concept-Olga2/,3-24H,31.0,48.0,27.0,183.0,7.0,5.0,3.0,1.0,0.0,33.0,18.0,3.0,9.0,9.0,6.0,5.0,6.0,6.0,8.0,10.0,,4.0,4.0,5.0,14.0,13.0,17.0,11.0,21.0,23.0,29.0,29.0,,17.0,21.0,23.0,,,,,,,,,,,,,,,
2016,2025-03-31_Proof-of-concept-Olga2/,3-24H,0.0,58.0,8.0,231.0,2.0,0.0,2.0,0.0,0.0,40.0,0.0,3.0,,9.0,8.0,5.0,9.0,,12.0,,,4.0,,10.0,,7.0,11.0,6.0,15.0,,22.0,,,15.0,,19.0,,,,,,,,,,,,,,,
2017,2025-03-31_Proof-of-concept-Olga2/,3-24H,1.0,16.0,1.0,21.0,2.0,1.0,4.0,1.0,0.0,13.0,1.0,2.0,10.0,9.0,5.0,5.0,4.0,23.0,0.0,3.0,,4.0,16.0,12.0,29.0,11.0,34.0,16.0,25.0,16.0,26.0,36.0,,18.0,23.0,22.0,,,,,,,,,,,,,,,
2018,2025-03-31_Proof-of-concept-Olga2/,3-24H,2.0,19.0,2.0,37.0,2.0,2.0,17.0,2.0,1.0,18.0,0.0,0.0,15.0,9.0,17.0,5.0,8.0,9.0,2.0,7.0,11.0,4.0,,,14.0,13.0,21.0,16.0,25.0,19.0,24.0,27.0,28.0,16.0,,,,,,,,,,,,,,,,,
2019,2025-03-31_Proof-of-concept-Olga2/,3-24H,0.0,97.0,29.0,349.0,2.0,4.0,14.0,2.0,3.0,8.0,0.0,6.0,,9.0,6.0,5.0,8.0,5.0,7.0,3.0,7.0,4.0,,4.0,,11.0,14.0,4.0,23.0,21.0,21.0,19.0,27.0,18.0,,21.0,,,,,,,,,,,,,,,
2020,2025-03-31_Proof-of-concept-Olga2/,3-24H,11.0,48.0,35.0,194.0,4.0,4.0,3.0,2.0,0.0,41.0,8.0,4.0,9.0,9.0,6.0,4.0,9.0,5.0,5.0,22.0,,4.0,4.0,9.0,19.0,11.0,14.0,12.0,21.0,25.0,26.0,15.0,,15.0,25.0,22.0,,,,,,,,,,,,,,,
2021,2025-03-31_Proof-of-concept-Olga2/,3-24H,2.0,71.0,0.0,246.0,29.0,1.0,37.0,0.0,5.0,21.0,0.0,5.0,16.0,9.0,,5.0,5.0,10.0,3.0,,7.0,4.0,,5.0,21.0,11.0,,12.0,15.0,29.0,23.0,,29.0,14.0,,21.0,,,,,,,,,,,,,,,
2022,2025-03-31_Proof-of-concept-Olga2/,3-24H,10.0,199.0,97.0,457.0,3.0,15.0,287.0,2.0,2.0,16.0,6.0,29.0,9.0,9.0,6.0,5.0,13.0,5.0,4.0,9.0,16.0,4.0,3.0,4.0,10.0,3.0,10.0,2.0,18.0,12.0,4.0,24.0,21.0,16.0,23.0,13.0,,,,,,,,,,,,,,,
2023,2025-03-31_Proof-of-concept-Olga2/,3-24H,2.0,39.0,17.0,181.0,16.0,0.0,11.0,1.0,4.0,22.0,1.0,2.0,9.0,9.0,7.0,5.0,6.0,,4.0,9.0,5.0,5.0,3.0,5.0,29.0,14.0,16.0,16.0,22.0,,28.0,30.0,30.0,17.0,36.0,21.0,,,,,,,,,,,,,,,
2024,2025-03-31_Proof-of-concept-Olga2/,3-24H,3.0,82.0,4.0,223.0,0.0,1.0,3.0,1.0,1.0,44.0,2.0,7.0,9.0,9.0,6.0,5.0,,19.0,3.0,18.0,4.0,5.0,3.0,3.0,9.0,1.0,27.0,3.0,,20.0,9.0,21.0,35.0,5.0,21.0,8.0,,,,,,,,,,,,,,,
2025,2025-03-31_Proof-of-concept-Olga2/,3-24H,6.0,10.0,3.0,112.0,14.0,1.0,4.0,0.0,8.0,4.0,2.0,4.0,13.0,10.0,11.0,5.0,5.0,5.0,7.0,,4.0,8.0,10.0,6.0,15.0,17.0,26.0,19.0,21.0,34.0,27.0,,24.0,20.0,20.0,29.0,,,,,,,,,,,,,,,
2026,2025-03-31_Proof-of-concept-Olga2/,3-24H,1.0,14.0,18.0,145.0,4.0,1.0,34.0,1.0,14.0,12.0,1.0,2.0,12.0,9.0,6.0,5.0,5.0,10.0,10.0,9.0,29.0,4.0,6.0,7.0,27.0,16.0,19.0,20.0,24.0,29.0,0.0,30.0,3.0,26.0,33.0,27.0,,,,,,,,,,,,,,,
2027,2025-03-31_Proof-of-concept-Olga2/,3-24H,1.0,12.0,4.0,93.0,9.0,1.0,3.0,0.0,2.0,22.0,0.0,3.0,22.0,9.0,9.0,5.0,6.0,21.0,7.0,,3.0,4.0,,3.0,17.0,19.0,21.0,19.0,19.0,18.0,22.0,,21.0,20.0,,22.0,,,,,,,,,,,,,,,
2028,2025-03-31_Proof-of-concept-Olga2/,3-24H,84.0,18.0,7.0,174.0,21.0,2.0,0.0,2.0,0.0,8.0,51.0,2.0,9.0,9.0,6.0,5.0,5.0,8.0,,7.0,,5.0,3.0,4.0,13.0,15.0,21.0,16.0,22.0,26.0,,19.0,,19.0,17.0,34.0,,,,,,,,,,,,,,,
2029,2025-03-31_Proof-of-concept-Olga2/,3-24H,6.0,54.0,3.0,155.0,11.0,0.0,48.0,0.0,11.0,4.0,2.0,1.0,8.0,11.0,19.0,4.0,8.0,,5.0,,12.0,12.0,7.0,16.0,10.0,3.0,10.0,3.0,16.0,,5.0,,14.0,24.0,23.0,23.0,,,,,,,,,,,,,,,
2030,2025-03-31_Proof-of-concept-Olga2/,3-24H,1.0,37.0,1.0,111.0,3.0,0.0,18.0,0.0,6.0,5.0,0.0,0.0,12.0,9.0,10.0,5.0,5.0,,7.0,,7.0,9.0,,,27.0,16.0,29.0,19.0,28.0,,22.0,,24.0,23.0,,,,,,,,,,,,,,,,,
2031,2025-03-31_Proof-of-concept-Olga2/,3-24H,8.0,78.0,14.0,217.0,10.0,1.0,9.0,0.0,2.0,53.0,2.0,2.0,14.0,9.0,5.0,5.0,6.0,9.0,7.0,,9.0,4.0,19.0,6.0,10.0,9.0,10.0,10.0,21.0,30.0,15.0,,28.0,12.0,14.0,28.0,,,,,,,,,,,,,,,
2032,2025-03-31_Proof-of-concept-Olga2/,3-24H,146.0,127.0,42.0,361.0,22.0,18.0,4.0,2.0,4.0,38.0,89.0,10.0,9.0,9.0,6.0,5.0,6.0,5.0,6.0,23.0,4.0,3.0,3.0,3.0,8.0,7.0,9.0,3.0,14.0,14.0,22.0,14.0,31.0,13.0,14.0,22.0,,,,,,,,,,,,,,,
2033,2025-03-31_Proof-of-concept-Olga2/,3-24H,3.0,24.0,5.0,95.0,33.0,4.0,2.0,2.0,2.0,29.0,1.0,3.0,10.0,9.0,5.0,5.0,0.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,15.0,14.0,16.0,9.0,12.0,24.0,27.0,30.0,27.0,15.0,36.0,23.0,,,,,,,,,,,,,,,
2034,2025-03-31_Proof-of-concept-Olga2/,3-24H,9.0,81.0,51.0,266.0,8.0,5.0,1.0,1.0,0.0,32.0,4.0,2.0,9.0,9.0,5.0,5.0,9.0,6.0,11.0,8.0,,3.0,3.0,4.0,15.0,15.0,16.0,16.0,20.0,21.0,28.0,31.0,,23.0,28.0,26.0,,,,,,,,,,,,,,,
2035,2025-03-31_Proof-of-concept-Olga2/,3-24H,2.0,56.0,18.0,212.0,4.0,15.0,5.0,0.0,0.0,59.0,1.0,0.0,12.0,9.0,7.0,5.0,11.0,6.0,8.0,,,4.0,11.0,,16.0,12.0,16.0,17.0,19.0,21.0,26.0,,,17.0,28.0,,,,,,,,,,,,,,,,
2036,2025-03-31_Proof-of-concept-Olga2/,3-24H,9.0,122.0,3.0,304.0,3.0,1.0,10.0,0.0,3.0,34.0,5.0,10.0,10.0,9.0,10.0,5.0,5.0,5.0,3.0,,9.0,4.0,5.0,3.0,12.0,5.0,23.0,3.0,18.0,34.0,18.0,,21.0,12.0,18.0,15.0,,,,,,,,,,,,,,,
2037,2025-03-31_Proof-of-concept-Olga2/,3-24H,50.0,114.0,52.0,421.0,20.0,4.0,177.0,0.0,3.0,97.0,64.0,17.0,10.0,9.0,5.0,5.0,5.0,6.0,3.0,,5.0,0.0,0.0,4.0,0.0,8.0,10.0,2.0,13.0,12.0,13.0,,29.0,12.0,19.0,13.0,,,,,,,,,,,,,,,
2038,2025-03-31_Proof-of-concept-Olga2/,3-24H,0.0,16.0,6.0,78.0,3.0,1.0,38.0,0.0,11.0,20.0,0.0,1.0,,9.0,5.0,5.0,6.0,22.0,0.0,,0.0,3.0,,7.0,,15.0,19.0,18.0,25.0,17.0,14.0,,23.0,23.0,,32.0,,,,,,,,,,,,,,,
2039,2025-03-31_Proof-of-concept-Olga2/,3-24H,8.0,188.0,67.0,461.0,7.0,27.0,189.0,10.0,0.0,19.0,6.0,14.0,9.0,9.0,5.0,5.0,6.0,5.0,4.0,3.0,,3.0,3.0,3.0,7.0,2.0,10.0,2.0,9.0,4.0,12.0,12.0,,17.0,22.0,19.0,,,,,,,,,,,,,,,
2040,2025-03-31_Proof-of-concept-Olga2/,3-24H,0.0,26.0,1.0,85.0,1.0,4.0,1.0,3.0,0.0,5.0,2.0,8.0,,10.0,27.0,5.0,15.0,18.0,15.0,19.0,,15.0,19.0,3.0,,11.0,12.0,11.0,24.0,11.0,24.0,12.0,,12.0,13.0,20.0,,,,,,,,,,,,,,,
2041,2025-03-31_Proof-of-concept-Olga2/,3-24H,1.0,66.0,32.0,259.0,6.0,3.0,4.0,5.0,0.0,37.0,1.0,9.0,18.0,8.0,5.0,4.0,5.0,16.0,8.0,5.0,,3.0,19.0,4.0,21.0,2.0,16.0,9.0,18.0,19.0,24.0,20.0,,18.0,20.0,25.0,,,,,,,,,,,,,,,
2043,2025-03-31_Proof-of-concept-Olga2/,3-24H,6.0,87.0,12.0,299.0,4.0,12.0,5.0,5.0,1.0,48.0,6.0,15.0,10.0,8.0,5.0,4.0,4.0,4.0,4.0,3.0,7.0,3.0,8.0,3.0,7.0,5.0,13.0,4.0,18.0,1.0,14.0,12.0,32.0,12.0,12.0,21.0,,,,,,,,,,,,,,,
2044,2025-03-31_Proof-of-concept-Olga2/,3-24H,2.0,55.0,5.0,200.0,5.0,3.0,0.0,2.0,1.0,51.0,18.0,8.0,19.0,9.0,5.0,4.0,5.0,5.0,,23.0,5.0,3.0,13.0,3.0,17.0,14.0,15.0,13.0,13.0,29.0,,16.0,34.0,16.0,16.0,14.0,,,,,,,,,,,,,,,
2046,2025-03-31_Proof-of-concept-Olga2/,3-24H,4.0,234.0,50.0,427.0,0.0,4.0,2.0,2.0,0.0,14.0,4.0,23.0,15.0,9.0,5.0,4.0,,4.0,9.0,10.0,,3.0,3.0,3.0,19.0,3.0,14.0,1.0,,16.0,24.0,18.0,,13.0,18.0,15.0,,,,,,,,,,,,,,,
2047,2025-03-31_Proof-of-concept-Olga2/,3-24H,5.0,122.0,41.0,328.0,5.0,5.0,2.0,1.0,0.0,48.0,0.0,18.0,13.0,9.0,7.0,4.0,8.0,9.0,4.0,19.0,,4.0,,3.0,11.0,2.0,12.0,4.0,15.0,13.0,31.0,20.0,,12.0,,14.0,,,,,,,,,,,,,,,
2048,2025-03-31_Proof-of-concept-Olga2/,3-24H,24.0,117.0,27.0,275.0,6.0,4.0,0.0,0.0,0.0,21.0,18.0,9.0,9.0,9.0,5.0,4.0,5.0,5.0,,,,4.0,3.0,5.0,15.0,9.0,13.0,6.0,13.0,29.0,,,,14.0,20.0,20.0,,,,,,,,,,,,,,,
2049,2025-03-31_Proof-of-concept-Olga2/,3-24H,3.0,31.0,30.0,131.0,4.0,0.0,2.0,32.0,0.0,59.0,4.0,2.0,8.0,9.0,5.0,4.0,11.0,,6.0,17.0,,3.0,3.0,3.0,19.0,17.0,20.0,19.0,23.0,,29.0,7.0,,9.0,30.0,32.0,,,,,,,,,,,,,,,
2050,2025-03-31_Proof-of-concept-Olga2/,3-24H,0.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,,8.0,11.0,,,6.0,,4.0,,4.0,4.0,,,25.0,28.0,,,32.0,,34.0,,32.0,35.0,,,,,,,,,,,,,,,,
2051,2025-03-31_Proof-of-concept-Olga2/,3-24H,0.0,19.0,6.0,116.0,8.0,13.0,0.0,18.0,1.0,54.0,25.0,1.0,,9.0,5.0,4.0,4.0,4.0,,8.0,12.0,3.0,3.0,7.0,,21.0,18.0,7.0,21.0,7.0,,0.0,27.0,18.0,18.0,32.0,,,,,,,,,,,,,,,
2052,2025-03-31_Proof-of-concept-Olga2/,3-24H,4.0,41.0,5.0,144.0,1.0,1.0,3.0,0.0,1.0,23.0,2.0,11.0,9.0,9.0,11.0,5.0,14.0,5.0,4.0,,5.0,4.0,3.0,4.0,28.0,18.0,25.0,19.0,25.0,34.0,29.0,,34.0,23.0,36.0,24.0,,,,,,,,,,,,,,,
2053,2025-03-31_Proof-of-concept-Olga2/,3-24H,1.0,22.0,11.0,144.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,9.0,9.0,7.0,5.0,7.0,8.0,6.0,3.0,6.0,3.0,3.0,4.0,30.0,6.0,10.0,8.0,32.0,31.0,33.0,36.0,33.0,18.0,36.0,21.0,,,,,,,,,,,,,,,
2054,2025-03-31_Proof-of-concept-Olga2/,3-24H,22.0,190.0,44.0,402.0,25.0,1.0,7.0,1.0,0.0,20.0,12.0,7.0,8.0,8.0,5.0,4.0,5.0,15.0,7.0,14.0,,4.0,4.0,3.0,14.0,4.0,11.0,4.0,11.0,24.0,12.0,25.0,,16.0,19.0,20.0,,,,,,,,,,,,,,,
2055,2025-03-31_Proof-of-concept-Olga2/,3-24H,7.0,169.0,53.0,342.0,22.0,5.0,149.0,6.0,7.0,14.0,7.0,11.0,9.0,9.0,5.0,4.0,4.0,8.0,3.0,9.0,6.0,4.0,3.0,5.0,17.0,4.0,16.0,5.0,17.0,15.0,15.0,2.0,22.0,16.0,17.0,21.0,,,,,,,,,,,,,,,
2056,2025-03-31_Proof-of-concept-Olga2/,3-24H,57.0,56.0,63.0,301.0,22.0,13.0,1.0,1.0,2.0,50.0,15.0,13.0,9.0,9.0,5.0,4.0,5.0,5.0,20.0,15.0,10.0,4.0,3.0,3.0,0.0,14.0,15.0,10.0,17.0,18.0,19.0,24.0,18.0,18.0,7.0,19.0,,,,,,,,,,,,,,,
2057,2025-03-31_Proof-of-concept-Olga2/,3-24H,0.0,45.0,19.0,209.0,8.0,2.0,1.0,0.0,1.0,45.0,0.0,4.0,,9.0,6.0,5.0,5.0,10.0,9.0,,9.0,4.0,,5.0,,13.0,18.0,11.0,21.0,20.0,30.0,,30.0,19.0,,22.0,,,,,,,,,,,,,,,
2058,2025-03-31_Proof-of-concept-Olga2/,3-24H,3.0,49.0,13.0,213.0,26.0,4.0,2.0,6.0,1.0,57.0,0.0,4.0,10.0,8.0,6.0,4.0,5.0,10.0,9.0,6.0,16.0,3.0,,6.0,23.0,11.0,16.0,12.0,15.0,15.0,29.0,15.0,23.0,17.0,,22.0,,,,,,,,,,,,,,,
2059,2025-03-31_Proof-of-concept-Olga2/,3-24H,22.0,60.0,57.0,221.0,28.0,52.0,18.0,0.0,0.0,9.0,20.0,4.0,9.0,9.0,5.0,5.0,5.0,5.0,3.0,,,5.0,3.0,5.0,15.0,13.0,13.0,12.0,18.0,13.0,15.0,,,23.0,2.0,27.0,,,,,,,,,,,,,,,
2060,2025-03-31_Proof-of-concept-Olga2/,3-24H,1.0,21.0,3.0,132.0,3.0,1.0,1.0,0.0,1.0,21.0,0.0,3.0,11.0,9.0,5.0,4.0,7.0,7.0,5.0,,7.0,3.0,,3.0,28.0,14.0,32.0,17.0,22.0,32.0,34.0,,32.0,23.0,,31.0,,,,,,,,,,,,,,,
2061,2025-03-31_Proof-of-concept-Olga2/,3-24H,3.0,138.0,58.0,430.0,15.0,15.0,30.0,1.0,2.0,119.0,1.0,20.0,11.0,9.0,6.0,4.0,6.0,5.0,3.0,4.0,9.0,4.0,4.0,3.0,25.0,5.0,15.0,3.0,19.0,18.0,15.0,35.0,29.0,13.0,35.0,22.0,,,,,,,,,,,,,,,
2062,2025-03-31_Proof-of-concept-Olga2/,3-24H,2.0,19.0,1.0,64.0,2.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0,18.0,8.0,5.0,4.0,18.0,4.0,,3.0,,3.0,3.0,,17.0,11.0,34.0,13.0,19.0,35.0,,36.0,,22.0,36.0,,,,,,,,,,,,,,,,
2063,2025-03-31_Proof-of-concept-Olga2/,3-24H,7.0,120.0,23.0,284.0,1.0,2.0,0.0,0.0,0.0,5.0,3.0,2.0,11.0,9.0,8.0,5.0,13.0,16.0,,,,6.0,5.0,18.0,3.0,3.0,2.0,3.0,26.0,7.0,,,,7.0,8.0,17.0,,,,,,,,,,,,,,,
2064,2025-03-31_Proof-of-concept-Olga2/,3-24H,0.0,7.0,0.0,53.0,1.0,4.0,1.0,2.0,0.0,31.0,3.0,2.0,,9.0,,5.0,14.0,9.0,16.0,3.0,,3.0,3.0,9.0,,21.0,,16.0,25.0,24.0,23.0,25.0,,17.0,36.0,28.0,,,,,,,,,,,,,,,
2065,2025-03-31_Proof-of-concept-Olga2/,3-24H,6.0,42.0,44.0,179.0,11.0,2.0,4.0,2.0,0.0,33.0,7.0,1.0,8.0,8.0,6.0,5.0,5.0,5.0,3.0,3.0,,3.0,3.0,10.0,17.0,16.0,17.0,17.0,27.0,32.0,28.0,36.0,,18.0,22.0,29.0,,,,,,,,,,,,,,,
2066,2025-03-31_Proof-of-concept-Olga2/,3-24H,52.0,265.0,57.0,484.0,18.0,7.0,17.0,5.0,2.0,20.0,44.0,17.0,9.0,8.0,5.0,4.0,4.0,9.0,3.0,6.0,6.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,15.0,12.0,13.0,22.0,16.0,16.0,12.0,7.0,,,,,,,,,,,,,,,
2068,2025-03-31_Proof-of-concept-Olga2/,3-24H,3.0,89.0,34.0,234.0,16.0,2.0,14.0,3.0,1.0,32.0,6.0,3.0,10.0,9.0,6.0,5.0,9.0,7.0,4.0,4.0,15.0,3.0,3.0,4.0,24.0,17.0,19.0,14.0,21.0,29.0,23.0,33.0,24.0,23.0,29.0,27.0,,,,,,,,,,,,,,,
2069,2025-03-31_Proof-of-concept-Olga2/,3-24H,2.0,20.0,14.0,118.0,11.0,4.0,3.0,1.0,1.0,27.0,0.0,5.0,12.0,9.0,8.0,4.0,5.0,6.0,5.0,4.0,15.0,3.0,,4.0,19.0,18.0,21.0,20.0,21.0,24.0,24.0,35.0,24.0,22.0,,24.0,,,,,,,,,,,,,,,
2070,2025-03-31_Proof-of-concept-Olga2/,3-24H,1.0,31.0,26.0,136.0,37.0,0.0,7.0,1.0,4.0,29.0,1.0,4.0,23.0,9.0,5.0,5.0,5.0,,8.0,5.0,7.0,4.0,5.0,4.0,16.0,14.0,13.0,14.0,18.0,,20.0,34.0,19.0,16.0,34.0,20.0,,,,,,,,,,,,,,,
2071,2025-03-31_Proof-of-concept-Olga2/,3-24H,9.0,169.0,39.0,372.0,8.0,7.0,2.0,6.0,0.0,30.0,6.0,8.0,13.0,9.0,5.0,5.0,5.0,4.0,11.0,3.0,,3.0,3.0,3.0,7.0,2.0,6.0,2.0,9.0,14.0,16.0,3.0,,8.0,22.0,12.0,,,,,,,,,,,,,,,
2072,2025-03-31_Proof-of-concept-Olga2/,3-24H,24.0,65.0,22.0,242.0,1.0,8.0,21.0,0.0,0.0,37.0,1.0,6.0,11.0,9.0,5.0,5.0,5.0,7.0,4.0,,,4.0,10.0,4.0,0.0,4.0,10.0,2.0,34.0,8.0,12.0,,,9.0,29.0,14.0,,,,,,,,,,,,,,,
2073,2025-03-31_Proof-of-concept-Olga2/,3-24H,1.0,71.0,1.0,244.0,5.0,6.0,0.0,4.0,1.0,20.0,0.0,7.0,21.0,9.0,12.0,3.0,8.0,10.0,,5.0,4.0,4.0,,5.0,18.0,3.0,27.0,4.0,16.0,18.0,,25.0,35.0,12.0,,14.0,,,,,,,,,,,,,,,
2074,2025-03-31_Proof-of-concept-Olga2/,3-24H,37.0,77.0,21.0,265.0,6.0,9.0,2.0,6.0,0.0,65.0,24.0,6.0,9.0,9.0,6.0,5.0,7.0,4.0,3.0,4.0,,3.0,3.0,6.0,14.0,11.0,16.0,11.0,18.0,23.0,27.0,26.0,,17.0,19.0,21.0,,,,,,,,,,,,,,,
2075,2025-03-31_Proof-of-concept-Olga2/,3-24H,5.0,221.0,57.0,454.0,1.0,6.0,263.0,5.0,0.0,76.0,3.0,20.0,8.0,8.0,5.0,4.0,4.0,4.0,3.0,3.0,,3.0,3.0,4.0,16.0,6.0,10.0,2.0,35.0,21.0,11.0,12.0,,12.0,35.0,14.0,,,,,,,,,,,,,,,
2076,2025-03-31_Proof-of-concept-Olga2/,3-24H,17.0,141.0,32.0,395.0,19.0,5.0,6.0,1.0,2.0,73.0,8.0,12.0,9.0,9.0,5.0,0.0,5.0,8.0,4.0,7.0,7.0,4.0,4.0,3.0,11.0,9.0,15.0,7.0,18.0,23.0,21.0,32.0,25.0,16.0,23.0,19.0,,,,,,,,,,,,,,,
2077,2025-03-31_Proof-of-concept-Olga2/,3-24H,1.0,48.0,12.0,218.0,3.0,1.0,17.0,0.0,0.0,4.0,1.0,52.0,16.0,9.0,6.0,5.0,8.0,4.0,4.0,,,3.0,3.0,2.0,23.0,11.0,19.0,7.0,24.0,35.0,16.0,,,23.0,36.0,21.0,,,,,,,,,,,,,,,
2078,2025-03-31_Proof-of-concept-Olga2/,3-24H,3.0,10.0,5.0,26.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,0.0,14.0,8.0,8.0,4.0,10.0,4.0,9.0,3.0,10.0,3.0,3.0,,23.0,16.0,27.0,18.0,29.0,35.0,30.0,36.0,29.0,24.0,28.0,,,,,,,,,,,,,,,,
2079,2025-03-31_Proof-of-concept-Olga2/,3-24H,1.0,20.0,0.0,36.0,1.0,3.0,0.0,3.0,0.0,16.0,2.0,2.0,33.0,11.0,,5.0,17.0,4.0,,3.0,,3.0,3.0,17.0,6.0,10.0,,10.0,22.0,20.0,,36.0,,12.0,36.0,15.0,,,,,,,,,,,,,,,
2080,2025-03-31_Proof-of-concept-Olga2/,3-24H,1.0,43.0,40.0,192.0,10.0,2.0,3.0,2.0,1.0,18.0,3.0,9.0,15.0,9.0,6.0,5.0,5.0,20.0,9.0,9.0,9.0,5.0,3.0,5.0,24.0,15.0,17.0,14.0,23.0,18.0,19.0,19.0,30.0,25.0,30.0,18.0,,,,,,,,,,,,,,,
2081,2025-03-31_Proof-of-concept-Olga2/,3-24H,3.0,10.0,1.0,38.0,1.0,0.0,3.0,0.0,1.0,8.0,0.0,0.0,12.0,11.0,9.0,5.0,16.0,,8.0,,15.0,4.0,,,25.0,16.0,30.0,16.0,23.0,,26.0,,24.0,17.0,,,,,,,,,,,,,,,,,
2082,2025-03-31_Proof-of-concept-Olga2/,3-24H,0.0,9.0,2.0,31.0,0.0,4.0,3.0,1.0,2.0,11.0,1.0,1.0,,8.0,5.0,5.0,,4.0,9.0,3.0,7.0,3.0,3.0,5.0,,17.0,30.0,15.0,,19.0,24.0,36.0,28.0,18.0,36.0,34.0,,,,,,,,,,,,,,,
2083,2025-03-31_Proof-of-concept-Olga2/,3-24H,4.0,54.0,25.0,183.0,15.0,1.0,9.0,0.0,1.0,3.0,1.0,126.0,10.0,9.0,3.0,3.0,8.0,5.0,4.0,,9.0,10.0,4.0,0.0,22.0,6.0,18.0,8.0,22.0,34.0,20.0,,30.0,20.0,35.0,0.0,,,,,,,,,,,,,,,
2084,2025-03-31_Proof-of-concept-Olga2/,3-24H,1.0,100.0,17.0,269.0,19.0,17.0,5.0,1.0,1.0,46.0,2.0,4.0,27.0,9.0,6.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,12.0,9.0,14.0,6.0,16.0,18.0,25.0,34.0,35.0,17.0,18.0,29.0,,,,,,,,,,,,,,,
2085,2025-03-31_Proof-of-concept-Olga2/,3-24H,28.0,122.0,111.0,477.0,2.0,10.0,45.0,1.0,1.0,25.0,14.0,13.0,9.0,9.0,5.0,5.0,16.0,7.0,4.0,22.0,16.0,4.0,3.0,4.0,5.0,3.0,7.0,2.0,22.0,9.0,9.0,17.0,23.0,9.0,15.0,18.0,,,,,,,,,,,,,,,
2086,2025-03-31_Proof-of-concept-Olga2/,3-24H,0.0,17.0,0.0,75.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,,9.0,,5.0,10.0,,,,,5.0,,9.0,,20.0,,19.0,29.0,,,,,29.0,,23.0,,,,,,,,,,,,,,,
2087,2025-03-31_Proof-of-concept-Olga2/,3-24H,1.0,9.0,4.0,193.0,14.0,3.0,25.0,0.0,0.0,5.0,3.0,3.0,10.0,10.0,12.0,5.0,5.0,6.0,4.0,,,3.0,3.0,4.0,29.0,14.0,22.0,11.0,16.0,19.0,19.0,,,23.0,34.0,32.0,,,,,,,,,,,,,,,
2089,2025-03-31_Proof-of-concept-Olga2/,3-24H,5.0,171.0,30.0,380.0,7.0,3.0,5.0,2.0,0.0,48.0,4.0,10.0,14.0,9.0,5.0,0.0,6.0,4.0,8.0,3.0,,3.0,3.0,4.0,12.0,5.0,11.0,2.0,25.0,11.0,18.0,36.0,,12.0,18.0,16.0,,,,,,,,,,,,,,,
2090,2025-03-31_Proof-of-concept-Olga2/,3-24H,20.0,212.0,36.0,366.0,6.0,7.0,83.0,16.0,0.0,45.0,19.0,10.0,11.0,7.0,6.0,5.0,5.0,5.0,3.0,3.0,,3.0,3.0,5.0,8.0,2.0,9.0,2.0,13.0,12.0,11.0,0.0,,3.0,2.0,12.0,,,,,,,,,,,,,,,
2091,2025-03-31_Proof-of-concept-Olga2/,3-24H,9.0,46.0,1.0,156.0,7.0,1.0,3.0,1.0,4.0,30.0,9.0,5.0,11.0,9.0,19.0,5.0,11.0,10.0,11.0,12.0,28.0,3.0,3.0,5.0,8.0,8.0,20.0,9.0,10.0,29.0,13.0,27.0,4.0,12.0,13.0,11.0,,,,,,,,,,,,,,,
