fish,exp_path,condition,Gene_TNF,Gene_CORO1A,Gene_IL2RA,Gene_ACTB,Gene_CD69,Gene_IRF8,Gene_GZMB,Gene_CCR7,Gene_IFNG,Gene_GBP4,Gene_TNF_2,Gene_XP01,delta_z_l_TNF,delta_z_l_CORO1A,delta_z_l_IL2RA,delta_z_l_ACTB,delta_z_l_CD69,delta_z_l_IRF8,delta_z_l_GZMB,delta_z_l_CCR7,delta_z_l_IFNG,delta_z_l_GBP4,delta_z_l_TNF_2,delta_z_l_XP01,delta_z_r_TNF,delta_z_r_CORO1A,delta_z_r_IL2RA,delta_z_r_ACTB,delta_z_r_CD69,delta_z_r_IRF8,delta_z_r_GZMB,delta_z_r_CCR7,delta_z_r_IFNG,delta_z_r_GBP4,delta_z_r_TNF_2,delta_z_r_XP01,Gene_CD8,delta_z_l_CD8,delta_z_r_CD8,Gene_CORO1A_2,delta_z_l_CORO1A_2,delta_z_r_CORO1A_2,Gene_SDch0,Gene_SDch1,Gene_GZMB_2,delta_z_l_SDch0,delta_z_l_SDch1,delta_z_l_GZMB_2,delta_z_r_SDch0,delta_z_r_SDch1,delta_z_r_GZMB_2
1097,2025-03-31_Proof-of-concept-Olga2/,3-24H,2.0,69.0,15.0,248.0,9.0,2.0,1.0,3.0,1.0,59.0,2.0,4.0,9.0,9.0,6.0,5.0,6.0,9.0,8.0,4.0,8.0,4.0,7.0,4.0,26.0,10.0,14.0,11.0,20.0,29.0,31.0,31.0,31.0,16.0,30.0,31.0,,,,,,,,,,,,,,,
1098,2025-03-31_Proof-of-concept-Olga2/,3-24H,6.0,22.0,15.0,146.0,8.0,6.0,27.0,2.0,13.0,70.0,2.0,6.0,10.0,9.0,6.0,5.0,5.0,7.0,4.0,6.0,11.0,4.0,7.0,5.0,19.0,14.0,22.0,15.0,23.0,23.0,16.0,33.0,18.0,20.0,32.0,23.0,,,,,,,,,,,,,,,
2001,2025-03-31_Proof-of-concept-Olga2/,3-24H,0.0,39.0,7.0,137.0,4.0,3.0,399.0,1.0,311.0,9.0,1.0,0.0,,10.0,8.0,5.0,17.0,5.0,0.0,4.0,0.0,4.0,4.0,,,10.0,15.0,14.0,14.0,20.0,8.0,35.0,14.0,24.0,35.0,,,,,,,,,,,,,,,,
2002,2025-03-31_Proof-of-concept-Olga2/,3-24H,11.0,123.0,23.0,320.0,6.0,4.0,10.0,1.0,1.0,22.0,3.0,20.0,13.0,9.0,6.0,5.0,8.0,6.0,4.0,4.0,8.0,3.0,7.0,3.0,13.0,8.0,14.0,5.0,21.0,23.0,19.0,35.0,31.0,19.0,22.0,22.0,,,,,,,,,,,,,,,
2003,2025-03-31_Proof-of-concept-Olga2/,3-24H,0.0,7.0,0.0,22.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,,9.0,,5.0,,,,4.0,,5.0,,,,24.0,,22.0,,,,35.0,,28.0,,,,,,,,,,,,,,,,,
2004,2025-03-31_Proof-of-concept-Olga2/,3-24H,188.0,120.0,34.0,315.0,9.0,9.0,935.0,1.0,497.0,16.0,104.0,9.0,9.0,9.0,5.0,5.0,5.0,5.0,0.0,11.0,0.0,4.0,3.0,3.0,12.0,15.0,18.0,15.0,20.0,22.0,0.0,28.0,5.0,22.0,18.0,21.0,,,,,,,,,,,,,,,
2005,2025-03-31_Proof-of-concept-Olga2/,3-24H,2.0,6.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,9.0,11.0,,5.0,,,,4.0,,4.0,,,27.0,16.0,,17.0,,,,35.0,,24.0,,,,,,,,,,,,,,,,,
2006,2025-03-31_Proof-of-concept-Olga2/,3-24H,0.0,2.0,1.0,3.0,1.0,0.0,92.0,8.0,20.0,2.0,0.0,1.0,,11.0,10.0,6.0,12.0,,0.0,9.0,0.0,7.0,,10.0,,26.0,29.0,26.0,27.0,,23.0,27.0,25.0,29.0,,29.0,,,,,,,,,,,,,,,
2007,2025-03-31_Proof-of-concept-Olga2/,3-24H,1.0,162.0,3.0,304.0,2.0,2.0,3.0,2.0,0.0,59.0,2.0,15.0,30.0,9.0,9.0,5.0,15.0,20.0,8.0,4.0,,4.0,27.0,5.0,9.0,4.0,28.0,2.0,22.0,9.0,19.0,10.0,,9.0,11.0,14.0,,,,,,,,,,,,,,,
2008,2025-03-31_Proof-of-concept-Olga2/,3-24H,27.0,88.0,25.0,284.0,24.0,30.0,120.0,1.0,0.0,39.0,19.0,6.0,8.0,9.0,6.0,5.0,5.0,4.0,3.0,21.0,,4.0,3.0,4.0,14.0,9.0,15.0,13.0,22.0,23.0,18.0,18.0,,18.0,24.0,25.0,,,,,,,,,,,,,,,
2009,2025-03-31_Proof-of-concept-Olga2/,3-24H,9.0,182.0,46.0,357.0,4.0,11.0,44.0,5.0,17.0,49.0,9.0,5.0,12.0,9.0,5.0,5.0,10.0,5.0,0.0,4.0,2.0,4.0,3.0,6.0,14.0,4.0,12.0,3.0,14.0,11.0,23.0,12.0,24.0,12.0,13.0,17.0,,,,,,,,,,,,,,,
2010,2025-03-31_Proof-of-concept-Olga2/,3-24H,1.0,74.0,33.0,247.0,7.0,1.0,102.0,1.0,19.0,44.0,0.0,8.0,9.0,9.0,6.0,5.0,5.0,5.0,0.0,4.0,6.0,4.0,,4.0,30.0,11.0,16.0,6.0,15.0,34.0,19.0,35.0,27.0,17.0,,21.0,,,,,,,,,,,,,,,
2011,2025-03-31_Proof-of-concept-Olga2/,3-24H,3.0,150.0,24.0,387.0,5.0,2.0,29.0,2.0,8.0,16.0,1.0,11.0,11.0,9.0,6.0,5.0,5.0,20.0,4.0,12.0,4.0,4.0,20.0,3.0,21.0,7.0,13.0,2.0,21.0,17.0,13.0,18.0,23.0,14.0,19.0,20.0,,,,,,,,,,,,,,,
2012,2025-03-31_Proof-of-concept-Olga2/,3-24H,3.0,21.0,2.0,50.0,4.0,3.0,85.0,0.0,36.0,4.0,0.0,5.0,11.0,10.0,8.0,5.0,7.0,4.0,0.0,,4.0,12.0,,5.0,26.0,12.0,30.0,17.0,25.0,21.0,5.0,,10.0,21.0,,23.0,,,,,,,,,,,,,,,
2013,2025-03-31_Proof-of-concept-Olga2/,3-24H,5.0,141.0,56.0,337.0,4.0,15.0,154.0,25.0,22.0,44.0,11.0,14.0,10.0,9.0,6.0,5.0,9.0,5.0,0.0,0.0,3.0,4.0,3.0,3.0,10.0,6.0,12.0,4.0,26.0,18.0,14.0,6.0,27.0,12.0,12.0,16.0,,,,,,,,,,,,,,,
